ChEMBL ID,Name,Synonyms,Type,Max Phase,Molecular Weight,Targets,Bioactivities,AlogP,Polar Surface Area,HBA,HBD,#RO5 Violations,#Rotatable Bonds,Passes Ro3,QED Weighted,CX Acidic pKa,CX Basic pKa,CX LogP,CX LogD,Aromatic Rings,Structure Type,Inorganic Flag,Heavy Atoms,HBA (Lipinski),HBD (Lipinski),#RO5 Violations (Lipinski),Molecular Weight (Monoisotopic),Np Likeness Score,Molecular Species,Molecular Formula,Smiles,Inchi Key
CHEMBL2109046,INSULIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL1201504,FIBRINOGEN I 125,FIBRINOGEN (125I)|FIBRINOGEN HUMAN I-125|FIBRINOGEN I 125|FIBRINOGEN I-125|FIBRINOGEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL1201060,LOXAPINE HYDROCHLORIDE,LOXAPINE HCL|LOXAPINE HYDROCHLORIDE|LOXITANE C|LOXITANE IM,Small molecule,4,364.28,,,3.77,28.07,4,0,0,0,N,0.74,None,7.18,3.46,3.26,2,MOL,0,23,4,0,0,327.1138,-0.75,NEUTRAL,C18H19Cl2N3O,CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1.Cl,JSXBVMKACNEMKY-UHFFFAOYSA-N
CHEMBL1401367,PIPENZOLATE BROMIDE,JB-323|NSC-4347|PIPENZOLATE BROMIDE|PIPENZOLATE METHYLBROMIDE|PIPENZOLONE BROMIDE|Piptal,Small molecule,4,434.37,12,24,3.09,46.53,3,1,0,5,N,0.66,11.05,None,-0.62,-0.62,2,MOL,0,26,4,1,0,354.2064,0.24,NEUTRAL,C22H28BrNO3,CC[N+]1(C)CCCC(OC(=O)C(O)(c2ccccc2)c2ccccc2)C1.[Br-],XEDCWWFPZMHXCM-UHFFFAOYSA-M
CHEMBL1761,PROCYCLIDINE HYDROCHLORIDE,ARPICOLIN|Kemadrin|MUSCINIL|NSC-757293|PROCYCLIDINE HCL|PROCYCLIDINE HYDROCHLORIDE|Procyclidine Hydrochloride,Small molecule,4,323.91,17,41,3.94,23.47,2,1,0,5,N,0.89,13.84,9.45,3.79,1.75,1,MOL,0,21,2,1,0,287.2249,-0.45,BASE,C19H30ClNO,Cl.OC(CCN1CCCC1)(c1ccccc1)C1CCCCC1,ZFSPFXJSEHCTTR-UHFFFAOYSA-N
CHEMBL2107175,RANELIC ACID,RANELIC ACID,Small molecule,4,342.29,,,-0.08,176.23,7,4,0,8,N,0.5,1.63,None,0.27,-13.11,1,MOL,0,23,10,4,0,342.0158,-0.73,ACID,C12H10N2O8S,N#Cc1c(N(CC(=O)O)CC(=O)O)sc(C(=O)O)c1CC(=O)O,DJSXNILVACEBLP-UHFFFAOYSA-N
CHEMBL2096648,UREA C 13,(13C) UREA|13-C UREA|13-C-UREA|13C-UREA|BREATHTEK UBT FOR H-PYLORI|CARBON-13 UREA|CARBONE (13) UREA|HELICOSOL|MERETEK UBT KIT (W/ PRANACTIN)|PYLORI-CHEK BREATH TEST|UREA ((SUP 13)C)|UREA (13C)|UREA 13 C|UREA C 13|UREA C-13|UREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL2108493,INSULIN ZINC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL4297634,GADOPICLENOL,Elucirem|GADOPICLENOL|P-03277|P03277,Small molecule,4,970.1,,,None,None,None,None,None,None,None,None,None,None,None,None,None,NONE,0,None,None,None,None,970.2919,None,None,C35H54GdN7O15,,
CHEMBL2108492,INSULIN ZINC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL1201655,INSULIN SUSP ISOPHANE PURIFIED BEEF,INSULIN SUSP ISOPHANE PURIFIED BEEF|Insulin susp isophane purified beef|NPH ILETIN II,Protein,4,,,,,,,,,,,,,,,,,SEQ,0,,,,,,,,,,
CHEMBL2110571,SODIUM PERTECHNETATE,,Small molecule,4,184.99,,,None,None,None,None,None,None,None,None,None,None,None,None,None,NONE,1,None,None,None,None,183.8758,None,None,NaO4Tc,,
CHEMBL3989511,IOBENGUANE SULFATE I 131,IOBENGUANE SULFATE I 131|IOBENGUANE SULFATE I-131|IOBENGUANE SULPHATE I 131|IOBENGUANE SULPHATE I-131|M131IBG,Small molecule,4,656.27,,,1.27,61.9,1,3,0,2,N,0.43,None,11.75,1.69,-0.72,1,MOL,0,12,3,4,0,274.9919,-1.2,BASE,C16H22I2N6O4S,N=C(N)NCc1cccc([131I])c1.N=C(N)NCc1cccc([131I])c1.O=S(=O)(O)O,XNACDNPGABUBFR-GNPGNDBSSA-N
